,instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,optionType
137,27891,BANKNIFTY,,104.75,11NOV21,39000.0,0.05,25,OI,FO,NSE,,1,48595,PE
138,27892,BANKNIFTY,,467.35,11NOV21,39100.0,0.05,25,OI,FO,NSE,,1,48596,CE
139,27894,BANKNIFTY,,130.45,11NOV21,39100.0,0.05,25,OI,FO,NSE,,1,48599,PE
140,27895,BANKNIFTY,,402.0,11NOV21,39200.0,0.05,25,OI,FO,NSE,,1,48600,CE
141,27896,BANKNIFTY,,165.7,11NOV21,39200.0,0.05,25,OI,FO,NSE,,1,48603,PE
142,27897,BANKNIFTY,,338.55,11NOV21,39300.0,0.05,25,OI,FO,NSE,,1,48604,CE
143,27898,BANKNIFTY,,204.9,11NOV21,39300.0,0.05,25,OI,FO,NSE,,1,48606,PE
144,27899,BANKNIFTY,,289.95,11NOV21,39400.0,0.05,25,OI,FO,NSE,,1,48607,CE
145,27900,BANKNIFTY,,246.7,11NOV21,39400.0,0.05,25,OI,FO,NSE,,1,48608,PE
146,27903,BANKNIFTY,,242.6,11NOV21,39500.0,0.05,25,OI,FO,NSE,,1,48613,CE
147,27905,BANKNIFTY,,293.5,11NOV21,39500.0,0.05,25,OI,FO,NSE,,1,48614,PE
148,27906,BANKNIFTY,,199.5,11NOV21,39600.0,0.05,25,OI,FO,NSE,,1,48616,CE
149,27908,BANKNIFTY,,350.4,11NOV21,39600.0,0.05,25,OI,FO,NSE,,1,48617,PE
150,27909,BANKNIFTY,,160.45,11NOV21,39700.0,0.05,25,OI,FO,NSE,,1,48620,CE
151,27910,BANKNIFTY,,411.65,11NOV21,39700.0,0.05,25,OI,FO,NSE,,1,48621,PE
152,27912,BANKNIFTY,,128.2,11NOV21,39800.0,0.05,25,OI,FO,NSE,,1,48622,CE
153,27913,BANKNIFTY,,479.95,11NOV21,39800.0,0.05,25,OI,FO,NSE,,1,48623,PE
154,27914,BANKNIFTY,,102.5,11NOV21,39900.0,0.05,25,OI,FO,NSE,,1,48628,CE
155,27915,BANKNIFTY,,563.75,11NOV21,39900.0,0.05,25,OI,FO,NSE,,1,48629,PE
156,27917,BANKNIFTY,,81.8,11NOV21,40000.0,0.05,25,OI,FO,NSE,,1,48632,CE
157,27919,BANKNIFTY,,652.5,11NOV21,40000.0,0.05,25,OI,FO,NSE,,1,48634,PE
158,27920,BANKNIFTY,,63.4,11NOV21,40100.0,0.05,25,OI,FO,NSE,,1,48644,CE
159,27921,BANKNIFTY,,695.6,11NOV21,40100.0,0.05,25,OI,FO,NSE,,1,48645,PE
160,27922,BANKNIFTY,,49.9,11NOV21,40200.0,0.05,25,OI,FO,NSE,,1,48647,CE
161,27926,BANKNIFTY,,780.8,11NOV21,40200.0,0.05,25,OI,FO,NSE,,1,48649,PE
162,27927,BANKNIFTY,,38.75,11NOV21,40300.0,0.05,25,OI,FO,NSE,,1,48650,CE
163,27928,BANKNIFTY,,857.75,11NOV21,40300.0,0.05,25,OI,FO,NSE,,1,48651,PE
164,27929,BANKNIFTY,,30.25,11NOV21,40400.0,0.05,25,OI,FO,NSE,,1,48652,CE
165,27930,BANKNIFTY,,950.95,11NOV21,40400.0,0.05,25,OI,FO,NSE,,1,48653,PE
166,27931,BANKNIFTY,,23.9,11NOV21,40500.0,0.05,25,OI,FO,NSE,,1,48656,CE
167,27933,BANKNIFTY,,1082.55,11NOV21,40500.0,0.05,25,OI,FO,NSE,,1,48659,PE
168,27938,BANKNIFTY,,19.0,11NOV21,40600.0,0.05,25,OI,FO,NSE,,1,48660,CE
169,27939,BANKNIFTY,,1125.85,11NOV21,40600.0,0.05,25,OI,FO,NSE,,1,48661,PE
170,27945,BANKNIFTY,,15.45,11NOV21,40700.0,0.05,25,OI,FO,NSE,,1,48662,CE
171,27949,BANKNIFTY,,1215.6,11NOV21,40700.0,0.05,25,OI,FO,NSE,,1,48663,PE
172,26305,BANKNIFTY,,13.5,11NOV21,40800.0,0.05,25,OI,FO,NSE,,1,50688,CE
173,26306,BANKNIFTY,,1378.05,11NOV21,40800.0,0.05,25,OI,FO,NSE,,1,50689,PE
174,26307,BANKNIFTY,,11.6,11NOV21,40900.0,0.05,25,OI,FO,NSE,,1,50690,CE
175,26327,BANKNIFTY,,1492.5,11NOV21,40900.0,0.05,25,OI,FO,NSE,,1,50691,PE
176,33748,BANKNIFTY,,10.5,11NOV21,41000.0,0.05,25,OI,FO,NSE,,1,52045,CE
177,33749,BANKNIFTY,,1560.4,11NOV21,41000.0,0.05,25,OI,FO,NSE,,1,52046,PE
178,33760,BANKNIFTY,,9.7,11NOV21,41100.0,0.05,25,OI,FO,NSE,,1,52047,CE
179,33761,BANKNIFTY,,1761.9,11NOV21,41100.0,0.05,25,OI,FO,NSE,,1,52048,PE
180,33762,BANKNIFTY,,8.9,11NOV21,41200.0,0.05,25,OI,FO,NSE,,1,52067,CE
181,33777,BANKNIFTY,,1849.4,11NOV21,41200.0,0.05,25,OI,FO,NSE,,1,52069,PE
182,33783,BANKNIFTY,,8.2,11NOV21,41300.0,0.05,25,OI,FO,NSE,,1,52074,CE
183,34177,BANKNIFTY,,1967.0,11NOV21,41300.0,0.05,25,OI,FO,NSE,,1,52075,PE
184,34178,BANKNIFTY,,7.65,11NOV21,41400.0,0.05,25,OI,FO,NSE,,1,52076,CE
185,34183,BANKNIFTY,,2047.1,11NOV21,41400.0,0.05,25,OI,FO,NSE,,1,52077,PE
186,34184,BANKNIFTY,,7.25,11NOV21,41500.0,0.05,25,OI,FO,NSE,,1,52078,CE
187,34235,BANKNIFTY,,2089.8,11NOV21,41500.0,0.05,25,OI,FO,NSE,,1,52080,PE
188,34236,BANKNIFTY,,6.75,11NOV21,41600.0,0.05,25,OI,FO,NSE,,1,52542,CE
189,34237,BANKNIFTY,,2248.3,11NOV21,41600.0,0.05,25,OI,FO,NSE,,1,52543,PE
190,34238,BANKNIFTY,,6.55,11NOV21,41700.0,0.05,25,OI,FO,NSE,,1,52548,CE
191,34239,BANKNIFTY,,2090.5,11NOV21,41700.0,0.05,25,OI,FO,NSE,,1,52549,PE
192,47802,BANKNIFTY,,6.3,11NOV21,41800.0,0.05,25,OI,FO,NSE,,1,36451,CE
193,47803,BANKNIFTY,,2600.0,11NOV21,41800.0,0.05,25,OI,FO,NSE,,1,36452,PE
194,12999,BANKNIFTY,,6.1,11NOV21,41900.0,0.05,25,OI,FO,NSE,,1,49250,CE
195,13000,BANKNIFTY,,2100.0,11NOV21,41900.0,0.05,25,OI,FO,NSE,,1,49251,PE
196,13004,BANKNIFTY,,6.15,11NOV21,42000.0,0.05,25,OI,FO,NSE,,1,49277,CE
197,13018,BANKNIFTY,,2477.65,11NOV21,42000.0,0.05,25,OI,FO,NSE,,1,49278,PE
198,13020,BANKNIFTY,,5.9,11NOV21,42100.0,0.05,25,OI,FO,NSE,,1,49279,CE
199,13029,BANKNIFTY,,2292.7,11NOV21,42100.0,0.05,25,OI,FO,NSE,,1,49284,PE
200,13030,BANKNIFTY,,5.7,11NOV21,42200.0,0.05,25,OI,FO,NSE,,1,49293,CE
201,13036,BANKNIFTY,,2374.3,11NOV21,42200.0,0.05,25,OI,FO,NSE,,1,49294,PE
202,23258,BANKNIFTY,,5.45,11NOV21,42300.0,0.05,25,OI,FO,NSE,,1,45315,CE
203,23259,BANKNIFTY,,2937.2,11NOV21,42300.0,0.05,25,OI,FO,NSE,,1,45316,PE
204,12878,BANKNIFTY,,5.45,11NOV21,42400.0,0.05,25,OI,FO,NSE,,1,46713,CE
205,12891,BANKNIFTY,,1898.25,11NOV21,42400.0,0.05,25,OI,FO,NSE,,1,46714,PE
206,12898,BANKNIFTY,,5.2,11NOV21,42500.0,0.05,25,OI,FO,NSE,,1,46715,CE
207,12899,BANKNIFTY,,3148.0,11NOV21,42500.0,0.05,25,OI,FO,NSE,,1,46716,PE
208,18622,BANKNIFTY,,5.1,11NOV21,42600.0,0.05,25,OI,FO,NSE,,1,48083,CE
209,18628,BANKNIFTY,,2426.95,11NOV21,42600.0,0.05,25,OI,FO,NSE,,1,48084,PE
210,38987,BANKNIFTY,,5.1,11NOV21,42700.0,0.05,25,OI,FO,NSE,,1,50262,CE
211,38988,BANKNIFTY,,3809.5,11NOV21,42700.0,0.05,25,OI,FO,NSE,,1,50263,PE
212,38989,BANKNIFTY,,4.85,11NOV21,42800.0,0.05,25,OI,FO,NSE,,1,50268,CE
213,38990,BANKNIFTY,,1971.65,11NOV21,42800.0,0.05,25,OI,FO,NSE,,1,50269,PE
214,38991,BANKNIFTY,,4.75,11NOV21,42900.0,0.05,25,OI,FO,NSE,,1,50271,CE
215,38994,BANKNIFTY,,4018.15,11NOV21,42900.0,0.05,25,OI,FO,NSE,,1,50272,PE
216,38995,BANKNIFTY,,4.8,11NOV21,43000.0,0.05,25,OI,FO,NSE,,1,50273,CE
217,38998,BANKNIFTY,,3943.55,11NOV21,43000.0,0.05,25,OI,FO,NSE,,1,50275,PE
218,38999,BANKNIFTY,,4.9,11NOV21,43100.0,0.05,25,OI,FO,NSE,,1,50279,CE
